id,subject,fold,model,th,f1
SR007-CL3-1040-1104,SR007,1,3D,0.5,0.8937499998657813
SR007-CL3-1040-1104,SR007,1,3D,0.55,0.8937499998657813
SR007-CL3-1040-1104,SR007,1,3D,0.6,0.8937499998657813
SR007-CL3-1040-1104,SR007,1,3D,0.65,0.8937499998657813
SR007-CL3-1040-1104,SR007,1,3D,0.7,0.8437499998757813
SR007-CL3-1040-1104,SR007,1,3D,0.75,0.8124999998796875
SR007-CL3-1040-1104,SR007,1,3D,0.8,0.7499999998875
SR007-CL3-1040-1104,SR007,1,3D,0.85,0.6687499999014063
SR007-CL3-1040-1104,SR007,1,3D,0.9,0.6374999999053125
SR007-CL3-1040-1104,SR007,1,3D,0.95,0.1124999999821875
SR007-CL3-1040-1104,SR007,1,2D,0.5,0.9083333331961111
SR007-CL3-1040-1104,SR007,1,2D,0.55,0.9083333331961111
SR007-CL3-1040-1104,SR007,1,2D,0.6,0.9083333331961111
SR007-CL3-1040-1104,SR007,1,2D,0.65,0.9083333331961111
SR007-CL3-1040-1104,SR007,1,2D,0.7,0.858333333206111
SR007-CL3-1040-1104,SR007,1,2D,0.75,0.858333333206111
SR007-CL3-1040-1104,SR007,1,2D,0.8,0.858333333206111
SR007-CL3-1040-1104,SR007,1,2D,0.85,0.6729166665681077
SR007-CL3-1040-1104,SR007,1,2D,0.9,0.4354166666015451
SR007-CL3-1040-1104,SR007,1,2D,0.95,0.03124999999609375
SR007-CR1-2630-2694,SR007,1,3D,0.5,0.8236039885720247
SR007-CR1-2630-2694,SR007,1,3D,0.55,0.8236039885720247
SR007-CR1-2630-2694,SR007,1,3D,0.6,0.8236039885720247
SR007-CR1-2630-2694,SR007,1,3D,0.65,0.8236039885720247
SR007-CR1-2630-2694,SR007,1,3D,0.7,0.7851139600834788
SR007-CR1-2630-2694,SR007,1,3D,0.75,0.7466239315949329
SR007-CR1-2630-2694,SR007,1,3D,0.8,0.6988746438474707
SR007-CR1-2630-2694,SR007,1,3D,0.85,0.563728632456684
SR007-CR1-2630-2694,SR007,1,3D,0.9,0.3316025640896055
SR007-CR1-2630-2694,SR007,1,3D,0.95,0
SR007-CR1-2630-2694,SR007,1,2D,0.5,0.39436989156902036
SR007-CR1-2630-2694,SR007,1,2D,0.55,0.39436989156902036
SR007-CR1-2630-2694,SR007,1,2D,0.6,0.39436989156902036
SR007-CR1-2630-2694,SR007,1,2D,0.65,0.3787052917808763
SR007-CR1-2630-2694,SR007,1,2D,0.7,0.3491350749394166
SR007-CR1-2630-2694,SR007,1,2D,0.75,0.32199545148956826
SR007-CR1-2630-2694,SR007,1,2D,0.8,0.2850774569915131
SR007-CR1-2630-2694,SR007,1,2D,0.85,0.22848797409085309
SR007-CR1-2630-2694,SR007,1,2D,0.9,0.11770300675228995
SR007-CR1-2630-2694,SR007,1,2D,0.95,0.004385964912203755
SR007-CR1-3600-3664,SR007,1,3D,0.5,0.880048947703874
