id,subject,fold,model,cls,bfscore
SR008-TL1-1160-1224,SR008,2,3D,epi,0.924545912063492
SR008-TL1-1160-1224,SR008,2,2D,fas,0.8340464712698413
SR008-TL1-1160-1224,SR008,2,2D,epi,0.8617577434920635
SR008-TL1-1160-1224,SR008,2,GT,fas,0.8811252707936508
SR008-TL1-1160-1224,SR008,2,GT,epi,0.8776677026984127
SR008-TL1-1879-1943,SR008,2,3D,fas,0.8863889617460318
SR008-TL1-1879-1943,SR008,2,3D,epi,0.7388495971428571
SR008-TL1-1879-1943,SR008,2,2D,fas,0.7892494328571429
SR008-TL1-1879-1943,SR008,2,2D,epi,0.6387051117460317
SR008-TL1-1879-1943,SR008,2,GT,fas,0.8307572303174603
SR008-TL1-1879-1943,SR008,2,GT,epi,0.7213192461904762
SR008-TL1-240-304,SR008,2,3D,fas,0.8890136307936508
SR008-TL1-240-304,SR008,2,3D,epi,0.7407884058730159
SR008-TL1-240-304,SR008,2,2D,fas,0.8264620687301587
SR008-TL1-240-304,SR008,2,2D,epi,0.6043675007936508
SR008-TL1-240-304,SR008,2,GT,fas,0.8153246960317461
SR008-TL1-240-304,SR008,2,GT,epi,0.6155178557142857
SR008-TL1-800-864,SR008,2,3D,fas,0.9436882141269841
SR008-TL1-800-864,SR008,2,3D,epi,0.9273900541269842
SR008-TL1-800-864,SR008,2,2D,fas,0.8309231465079365
SR008-TL1-800-864,SR008,2,2D,epi,0.8344469593650794
SR008-TL1-800-864,SR008,2,GT,fas,0.8535079219047619
SR008-TL1-800-864,SR008,2,GT,epi,0.8552078553968254
SR008-TR1-1210-1274,SR008,2,3D,fas,0.8561682522222223
SR008-TR1-1210-1274,SR008,2,3D,epi,0.8662004812698413
SR008-TR1-1210-1274,SR008,2,2D,fas,0.4842293303174603
SR008-TR1-1210-1274,SR008,2,2D,epi,0.6557592687301588
SR008-TR1-1210-1274,SR008,2,GT,fas,0.8033537420634921
SR008-TR1-1210-1274,SR008,2,GT,epi,0.8054495536507936
SR008-TR1-1430-1494,SR008,2,3D,fas,0.864546000952381
SR008-TR1-1430-1494,SR008,2,3D,epi,0.856247306984127
SR008-TR1-1430-1494,SR008,2,2D,fas,0.6192389274603175
SR008-TR1-1430-1494,SR008,2,2D,epi,0.6065607085714286
SR008-TR1-1430-1494,SR008,2,GT,fas,0.8312965150793651
SR008-TR1-1430-1494,SR008,2,GT,epi,0.8168240247619047
SR008-TR1-1760-1824,SR008,2,3D,fas,0.6795042750793651
SR008-TR1-1760-1824,SR008,2,3D,epi,0.6828755887301587
SR008-TR1-1760-1824,SR008,2,2D,fas,0.5336465215873016
SR008-TR1-1760-1824,SR008,2,2D,epi,0.5812716949206349
SR008-TR1-1760-1824,SR008,2,GT,fas,0.646577673015873
SR008-TR1-1760-1824,SR008,2,GT,epi,0.6423303101587302
SR008-TR1-2060-2124,SR008,2,3D,fas,0.8366798874603174
SR008-TR1-2060-2124,SR008,2,3D,epi,0.8116419531746032
SR008-TR1-2060-2124,SR008,2,2D,fas,0.6948977117460318
SR008-TR1-2060-2124,SR008,2,2D,epi,0.7058066706349206
SR008-TR1-2060-2124,SR008,2,GT,fas,0.8033632257142858
SR008-TR1-2060-2124,SR008,2,GT,epi,0.7734151452380953
SR008-TR1-670-734,SR008,2,3D,fas,0.9101083793650794
SR008-TR1-670-734,SR008,2,3D,epi,0.8721297188888889
SR008-TR1-670-734,SR008,2,2D,fas,0.5759392195238096
SR008-TR1-670-734,SR008,2,2D,epi,0.6653224115873015
SR008-TR1-670-734,SR008,2,GT,fas,0.8128303431746032
SR008-TR1-670-734,SR008,2,GT,epi,0.780433175079365
SR009-CL1-3900-3964,SR009,3,3D,fas,0.7922225838095238
SR009-CL1-3900-3964,SR009,3,3D,epi,0.6445909777777777
SR009-CL1-3900-3964,SR009,3,2D,fas,0.3148760477777778
SR009-CL1-3900-3964,SR009,3,2D,epi,0.4271215988888889
SR009-CL1-3900-3964,SR009,3,GT,fas,0.7130684717301587
SR009-CL1-3900-3964,SR009,3,GT,epi,0.5952688346031746
SR009-CL1-4400-4464,SR009,3,3D,fas,0.6733415482539683
SR009-CL1-4400-4464,SR009,3,3D,epi,0.6542081301587301
SR009-CL1-4400-4464,SR009,3,2D,fas,0.39544622825396825
SR009-CL1-4400-4464,SR009,3,2D,epi,0.5325960966666666
SR009-CL1-4400-4464,SR009,3,GT,fas,0.5837666061904762
SR009-CL1-4400-4464,SR009,3,GT,epi,0.6121278722222222
SR009-CL1-5380-5444,SR009,3,3D,fas,0.8030162825396825
SR009-CL1-5380-5444,SR009,3,3D,epi,0.7891125436507936
SR009-CL1-5380-5444,SR009,3,2D,fas,0.38966385936507936
SR009-CL1-5380-5444,SR009,3,2D,epi,0.5835816506349206
SR009-CL1-5380-5444,SR009,3,GT,fas,0.7320342522222222
SR009-CL1-5380-5444,SR009,3,GT,epi,0.7570690022222222
SR009-CL1-6980-7044,SR009,3,3D,fas,0.7462605676190476
SR009-CL1-6980-7044,SR009,3,3D,epi,0.7421971773015873
SR009-CL1-6980-7044,SR009,3,2D,fas,0.31520116063492065
