id,subject,fold,model,area_category,missed_rate
SR008-CR1-7620-7684,SR008,2,3D,Large,8.333333333333332
SR008-CR1-7620-7684,SR008,2,2D,Tiny,7.777777777777778
SR008-CR1-7620-7684,SR008,2,2D,Small,9.803921568627452
SR008-CR1-7620-7684,SR008,2,2D,Medium,15.555555555555555
SR008-CR1-7620-7684,SR008,2,2D,Large,8.333333333333332
SR008-CR1-7760-7824,SR008,2,3D,Tiny,13.559322033898304
SR008-CR1-7760-7824,SR008,2,3D,Large,21.73913043478261
SR008-CR1-7760-7824,SR008,2,2D,Tiny,13.559322033898304
SR008-CR1-7760-7824,SR008,2,2D,Large,14.285714285714285
SR008-CR2-640-704,SR008,2,3D,Tiny,9.090909090909092
SR008-CR2-640-704,SR008,2,3D,Small,18.181818181818183
SR008-CR2-640-704,SR008,2,2D,Tiny,9.090909090909092
SR008-CR2-640-704,SR008,2,2D,Small,18.181818181818183
SR008-TL1-1160-1224,SR008,2,3D,Tiny,15.789473684210526
SR008-TL1-1160-1224,SR008,2,3D,Small,34.61538461538461
SR008-TL1-1160-1224,SR008,2,3D,Medium,15
SR008-TL1-1160-1224,SR008,2,2D,Tiny,15.625
SR008-TL1-1160-1224,SR008,2,2D,Small,32.69230769230769
SR008-TL1-1160-1224,SR008,2,2D,Medium,15.789473684210526
SR008-TL1-1879-1943,SR008,2,3D,Tiny,14.285714285714285
SR008-TL1-1879-1943,SR008,2,3D,Small,12.5
SR008-TL1-1879-1943,SR008,2,3D,Medium,18.51851851851852
SR008-TL1-1879-1943,SR008,2,3D,Large,15.789473684210526
SR008-TL1-1879-1943,SR008,2,2D,Tiny,14.285714285714285
SR008-TL1-1879-1943,SR008,2,2D,Small,12.5
SR008-TL1-1879-1943,SR008,2,2D,Medium,19.047619047619047
SR008-TL1-1879-1943,SR008,2,2D,Large,14.285714285714285
SR008-TL1-240-304,SR008,2,3D,Tiny,28.57142857142857
SR008-TL1-240-304,SR008,2,3D,Medium,40
SR008-TL1-240-304,SR008,2,3D,Large,42.857142857142854
SR008-TL1-240-304,SR008,2,2D,Tiny,26.666666666666668
SR008-TL1-240-304,SR008,2,2D,Medium,40
SR008-TL1-240-304,SR008,2,2D,Large,42.857142857142854
SR008-TL1-800-864,SR008,2,3D,Tiny,22.22222222222222
SR008-TL1-800-864,SR008,2,3D,Large,25
SR008-TL1-800-864,SR008,2,2D,Tiny,26.53061224489796
SR008-TL1-800-864,SR008,2,2D,Large,25
SR008-TR1-1210-1274,SR008,2,3D,Small,21.428571428571427
SR008-TR1-1210-1274,SR008,2,3D,Medium,33.33333333333333
SR008-TR1-1210-1274,SR008,2,3D,Large,32.608695652173914
SR008-TR1-1210-1274,SR008,2,2D,Small,28.57142857142857
SR008-TR1-1210-1274,SR008,2,2D,Medium,28.26086956521739
SR008-TR1-1210-1274,SR008,2,2D,Large,32.608695652173914
SR008-TR1-1430-1494,SR008,2,3D,Tiny,25
SR008-TR1-1430-1494,SR008,2,3D,Small,21.052631578947366
SR008-TR1-1430-1494,SR008,2,2D,Tiny,23.076923076923077
SR008-TR1-1430-1494,SR008,2,2D,Small,20.454545454545457
SR008-TR1-1760-1824,SR008,2,3D,Tiny,7.792207792207792
SR008-TR1-1760-1824,SR008,2,3D,Small,9.433962264150944
SR008-TR1-1760-1824,SR008,2,3D,Medium,16.666666666666664
SR008-TR1-1760-1824,SR008,2,3D,Large,14.583333333333334
SR008-TR1-1760-1824,SR008,2,2D,Tiny,7.865168539325842
SR008-TR1-1760-1824,SR008,2,2D,Small,17.105263157894736
SR008-TR1-1760-1824,SR008,2,2D,Medium,16.666666666666664
