id,subject,fold,model,class,DSC,IoU,Sensitivity,Specificity,tp,fp,fn,tn
SR009-CL2-3128-3192,SR009,3,2D,fas,0.8969993950477453,0.8132356328912199,0.8963467019310299,0.999511193311174,1288519,146912,149004,300405440
SR009-CL2-6610-6674,SR009,3,3D,epi,0.9618092798996377,0.9264283154126626,0.9670108839594371,0.9994706420916512,3486814,157952,118951,298226180
SR009-CL2-6610-6674,SR009,3,3D,fas,0.9221503946973076,0.8555464418789116,0.9439329335066847,0.9996316325547495,1012807,110848,60158,300806080
SR009-CL2-6610-6674,SR009,3,2D,epi,0.9501675466475502,0.9050658927654239,0.9641906779837288,0.9992105746427561,3476645,235552,129120,298148580
SR009-CL2-6610-6674,SR009,3,2D,fas,0.8745701517145077,0.777098770791311,0.8592349237859576,0.9996231252234504,921929,113408,151036,300803520
SR009-CL2-7170-7234,SR009,3,3D,epi,0.965295737368176,0.9329194555678123,0.9694050238006302,0.9993847828580011,4533885,182912,143092,297130000
SR009-CL2-7170-7234,SR009,3,3D,fas,0.9270753911742808,0.8640638713552617,0.9501277725182322,0.9995671724516068,1241455,130144,65164,300553120
SR009-CL2-7170-7234,SR009,3,2D,epi,0.9641930497987904,0.9308617301819534,0.9771514805396734,0.9992177399529956,4570115,232576,106862,297080320
SR009-CL2-7170-7234,SR009,3,2D,fas,0.9116101531494545,0.8375768625436599,0.8972692116064438,0.9996903053399115,1172389,93120,134230,300590140
SR009-CL2-910-974,SR009,3,3D,epi,0.9630293080774356,0.9286948180685416,0.9586022335562865,0.9985606815209529,12384906,416064,534849,288654080
SR009-CL2-910-974,SR009,3,3D,fas,0.972693572802294,0.946838788359978,0.9869023195400913,0.9987928617652615,8266733,354432,109712,293259000
SR009-CL2-910-974,SR009,3,2D,epi,0.9629498467997047,0.9285470368314205,0.9599284970961137,0.998489501544504,12402041,436640,517714,288633500
SR009-CL2-910-974,SR009,3,2D,fas,0.9711523547195877,0.9439224156992655,0.9810462553028164,0.9988779805175131,8217680,329440,158765,293284000
SR009-CR1-3890-3954,SR009,3,3D,epi,0.9760640360416236,0.9532471466949091,0.9718139054040976,0.9969667707364467,39545170,792576,1146952,260505180
SR009-CR1-3890-3954,SR009,3,3D,fas,0.9256648884220213,0.8616165276981488,0.9467775884979425,0.9992572701212592,2132519,222624,119878,299514880
SR009-CR1-3890-3954,SR009,3,2D,epi,0.9540714844675843,0.9121765687609417,0.9391667999029395,0.9953921074915292,38216690,1204032,2475432,260093730
SR009-CR1-3890-3954,SR009,3,2D,fas,0.6676510134478136,0.5011082082747265,0.7087635971811364,0.9968860219981946,1596417,933376,655980,298804130
SR009-CR1-7400-7464,SR009,3,3D,epi,0.9355032735359308,0.8788221234304636,0.9496467259281377,0.9955167053377165,15113206,1282560,801350,284792770
SR009-CR1-7400-7464,SR009,3,3D,fas,0.9668608008885453,0.9358475621872524,0.972729244753843,0.9980198536023782,14053533,569376,393995,286973000
SR009-CR1-7400-7464,SR009,3,2D,epi,0.8862542695213902,0.7957420129822093,0.9435542531001179,0.989666386195088,15016247,2956192,898309,283119140
SR009-CR1-7400-7464,SR009,3,2D,fas,0.9267118524240955,0.8634324850387458,0.9022069381004141,0.9977436368768888,13034660,648800,1412868,286893570
SR009-CR2-1990-2054,SR009,3,3D,epi,0.9552263845586518,0.9142903021676438,0.9525559380428764,0.9992735145983045,4908074,215648,244457,296621700
SR009-CR2-1990-2054,SR009,3,3D,fas,0.9271985359064392,0.8642778435149271,0.9730063393850976,0.999369229433229,1465944,189536,40669,300293730
SR009-CR2-1990-2054,SR009,3,2D,epi,0.9472380185158823,0.8997646525765735,0.9388417071144259,0.999246132594111,4837411,223776,315120,296613570
SR009-CR2-1990-2054,SR009,3,2D,fas,0.9011794799635727,0.8201334645021896,0.9500820715074143,0.9992055464254481,1431406,238720,75207,300244540
SR009-CR3-1300-1364,SR009,3,3D,epi,0.9394158210071392,0.8857531911320947,0.9353756139188535,0.9994591820529751,2700797,161760,186596,298940740
SR009-CR3-1300-1364,SR009,3,3D,fas,0.89756668640299,0.8141686896910045,0.9446677029050897,0.9994363104102513,999756,169632,58559,300761950
SR009-CR3-1300-1364,SR009,3,2D,epi,0.9191223597008279,0.8503482035639366,0.8885347439714649,0.9995664897398013,2565549,129664,321844,298972830
SR009-CR3-1300-1364,SR009,3,2D,fas,0.8623393063919873,0.7579934080847405,0.93201929482243,0.9991925872212227,986370,242976,71945,300688600
SR009-CR3-2100-2164,SR009,3,3D,epi,0.9476231502539273,0.9004598975001954,0.9623114843757394,0.9983008616974187,7015167,500736,274746,294199230
SR009-CR3-2100-2164,SR009,3,3D,fas,0.8626916285839988,0.7585380098010781,0.8605618838845032,0.9995014001119323,959832,150016,155523,300724500
SR009-CR3-2100-2164,SR009,3,2D,epi,0.9419029818954406,0.8901858390856586,0.9265615378400264,0.9989891821094463,6754553,297888,535360,294402080
SR009-CR3-2100-2164,SR009,3,2D,fas,0.8174649423461305,0.691281782349834,0.8131169000004483,0.9993466512349404,906914,196576,208441,300677950
SR009-CR3-800-864,SR009,3,3D,epi,0.9539463760635463,0.9119478717292767,0.9638702635652857,0.9995329257468586,2368449,139904,88779,299392770
SR009-CR3-800-864,SR009,3,3D,fas,0.9165839977748934,0.8460129773719645,0.9317774295778796,0.9997142601809289,790902,86048,57908,301055040
SR009-CR3-800-864,SR009,3,2D,epi,0.9318651900088407,0.8724228264937396,0.9145508678885313,0.9996038628923318,2247260,118656,209968,299414000
SR009-CR3-800-864,SR009,3,2D,fas,0.861833565799721,0.75721224937131415,0.9230404919828937,0.9993827212313187,783486,185888,65324,300955200
SR009-TL1-4050-4114,SR009,3,3D,epi,0.95903831937605,0.9213003103065279,0.9545122160127592,0.999489762688941,4022996,151936,191718,297623230
SR009-TL1-4050-4114,SR009,3,3D,fas,0.9089889523033885,0.8331620053000236,0.969904591208632,0.9993974046884103,1071473,181312,33247,300703870
SR009-TL1-4050-4114,SR009,3,2D,epi,0.9547775823778941,0.9134683358112671,0.9571617433590986,0.9993229791456419,4034163,201600,180551,297573570
SR009-TL1-4050-4114,SR009,3,2D,fas,0.8882584540483238,0.7989792747089921,0.9215484466652183,0.9994367552283367,1018053,169472,86667,300715700
SR009-TL1-4520-4584,SR009,3,3D,epi,0.9587391268024952,0.9207482500119285,0.9511245657088376,0.9992890312365934,6059354,210176,311372,295409000
SR009-TL1-4520-4584,SR009,3,3D,fas,0.8778871107639439,0.7823518642242999,0.9772211802491975,0.999029632386902,1145227,291904,26695,300526050
SR009-TL1-4520-4584,SR009,3,2D,epi,0.957842976905544,0.9190966003006341,0.9518929239775812,0.9992310106224235,6064249,227328,306477,295391840
SR009-TL1-4520-4584,SR009,3,2D,fas,0.8631951917128365,0.7593169780953183,0.9387868817207972,0.9990792038900657,1100185,276992,71737,300540960
SR009-TL1-6130-6194,SR009,3,3D,epi,0.9697506898016229,0.9412776890041256,0.9737785456983956,0.9992655255826884,6125069,217184,164933,295482700
SR009-TL1-6130-6194,SR009,3,3D,fas,0.8946896551294456,0.8094465588614616,0.9629998712432537,0.9995304807271201,718005,141440,27587,301102850
SR009-TL1-6130-6194,SR009,3,2D,epi,0.9708952012263857,0.9434366668811602,0.9743225836812135,0.9993036182261426,6128491,205920,161511,295493950
SR009-TL1-6130-6194,SR009,3,2D,fas,0.8740622020088749,0.7762970597206689,0.9011389607184627,0.9996019708709228,671882,119904,73710,301124380
SR009-TR1-2930-2994,SR009,3,3D,epi,0.9505611975552067,0.905780494623184,0.935300005615592,0.9995558684704744,3797434,132320,262690,297797440
SR009-TR1-2930-2994,SR009,3,3D,fas,0.881277643360026,0.7877536710778704,0.9195108505458199,0.9994091854436734,977429,177792,85559,300749120
