id,subject,fold,model,cls,metric,value
SR010-CL1-4068-4132,SR010,4,3D,fas,cl_dice,0.8645077173399024
SR010-CL1-4068-4132,SR010,4,3D Base,fas,cl_dice,0.8708954684526247
SR010-CL1-6954-7018,SR010,4,3D,fas,cl_dice,0.9532710280373832
SR010-CL1-6954-7018,SR010,4,3D Base,fas,cl_dice,0.9487008660892738
SR010-CL2-1125-1189,SR010,4,3D,fas,cl_dice,0.8408227523186969
SR010-CL2-1125-1189,SR010,4,3D Base,fas,cl_dice,0.8763404114915981
SR010-CL2-3303-3367,SR010,4,3D,fas,cl_dice,0.9636108593041792
SR010-CL2-3303-3367,SR010,4,3D Base,fas,cl_dice,0.9321972372007682
SR010-CL2-997-1061,SR010,4,3D,fas,cl_dice,0.8496163605093251
SR010-CL2-997-1061,SR010,4,3D Base,fas,cl_dice,0.8451865389963844
SR010-CR1-5758-5822,SR010,4,3D,fas,cl_dice,0.9028842439720224
SR010-CR1-5758-5822,SR010,4,3D Base,fas,cl_dice,0.8864777838437177
SR010-CR1-7692-7756,SR010,4,3D,fas,cl_dice,0.9684501929125864
SR010-CR1-7692-7756,SR010,4,3D Base,fas,cl_dice,0.921826991818254
SR010-TL1-1100-1164,SR010,4,3D,fas,cl_dice,1
SR010-TL1-1100-1164,SR010,4,3D Base,fas,cl_dice,0.994743978901274
SR010-TL1-2764-2828,SR010,4,3D,fas,cl_dice,0.9645522388059702
SR010-TL1-2764-2828,SR010,4,3D Base,fas,cl_dice,0.9754716981132076
SR010-TL1-4236-4300,SR010,4,3D,fas,cl_dice,0.909005073968154
SR010-TL1-4236-4300,SR010,4,3D Base,fas,cl_dice,0.9069751951804702
SR010-TR1-1055-1119,SR010,4,3D,fas,cl_dice,0.9197028612145836
SR010-TR1-1055-1119,SR010,4,3D Base,fas,cl_dice,0.9138543021166896
SR010-TR1-1183-1247,SR010,4,3D,fas,cl_dice,0.8224806710467178
SR010-TR1-1183-1247,SR010,4,3D Base,fas,cl_dice,0.8199061477187587
SR010-TR1-119-183,SR010,4,3D,fas,cl_dice,1
SR010-TR1-119-183,SR010,4,3D Base,fas,cl_dice,1
SR010-TR1-1439-1503,SR010,4,3D,fas,cl_dice,0.9613811512463942
SR010-TR1-1439-1503,SR010,4,3D Base,fas,cl_dice,0.9593041317179248
SR010-TR1-1619-1683,SR010,4,3D,fas,cl_dice,0.8031732040546496
SR010-TR1-1619-1683,SR010,4,3D Base,fas,cl_dice,0.7685690229163499
SR010-TR1-1747-1811,SR010,4,3D,fas,cl_dice,0.7993579454253612
SR010-TR1-1747-1811,SR010,4,3D Base,fas,cl_dice,0.7604327666151468
SR010-TR1-183-247,SR010,4,3D,fas,cl_dice,0.9523698525847352
SR010-TR1-183-247,SR010,4,3D Base,fas,cl_dice,0.9381426670430258
SR010-TR1-1875-1939,SR010,4,3D,fas,cl_dice,0.8558937439114216
SR010-TR1-1875-1939,SR010,4,3D Base,fas,cl_dice,0.8085633516500969
SR010-TR1-619-683,SR010,4,3D,fas,cl_dice,1
SR010-TR1-619-683,SR010,4,3D Base,fas,cl_dice,1
SR010-TR1-939-1003,SR010,4,3D,fas,cl_dice,0.958904156552982
SR010-TR1-939-1003,SR010,4,3D Base,fas,cl_dice,0.971478528094948
SR011-CL1-2300-2364,SR011,5,3D,fas,cl_dice,0.09341161701185333
SR011-CL1-2300-2364,SR011,5,3D Base,fas,cl_dice,0.03214210094184238
SR011-CL1-2850-2914,SR011,5,3D,fas,cl_dice,0.7136515041940065
SR011-CL1-2850-2914,SR011,5,3D Base,fas,cl_dice,0.0659861649661874
SR011-CL1-7000-7064,SR011,5,3D,fas,cl_dice,0.8890094372573139
SR011-CL1-7000-7064,SR011,5,3D Base,fas,cl_dice,0.8456537996893516
