id,subject,fold,model,cls,metric,value
SR010-CL2-3303-3367,SR010,4,3D,fas,cl_dice,0.9636108593041792
SR010-CL2-3303-3367,SR010,4,2D,fas,cl_dice,0.8733711478944018
SR010-CL2-997-1061,SR010,4,3D,fas,cl_dice,0.8496163605093251
SR010-CL2-997-1061,SR010,4,2D,fas,cl_dice,0.8625967371684357
SR010-CR1-5758-5822,SR010,4,3D,fas,cl_dice,0.9028842439720224
SR010-CR1-5758-5822,SR010,4,2D,fas,cl_dice,0.8471946462496924
SR010-CR1-7692-7756,SR010,4,3D,fas,cl_dice,0.9684501929125864
SR010-CR1-7692-7756,SR010,4,2D,fas,cl_dice,0.9769660168690724
SR010-TL1-1100-1164,SR010,4,3D,fas,cl_dice,1
SR010-TL1-1100-1164,SR010,4,2D,fas,cl_dice,0.9188191369211256
SR010-TL1-2764-2828,SR010,4,3D,fas,cl_dice,0.9645522388059702
SR010-TL1-2764-2828,SR010,4,2D,fas,cl_dice,0.7776827770983425
SR010-TL1-4236-4300,SR010,4,3D,fas,cl_dice,0.909005073968154
SR010-TL1-4236-4300,SR010,4,2D,fas,cl_dice,0.8488801887422246
SR010-TR1-1055-1119,SR010,4,3D,fas,cl_dice,0.9197028612145836
SR010-TR1-1055-1119,SR010,4,2D,fas,cl_dice,0.8130235153413109
SR010-TR1-1183-1247,SR010,4,3D,fas,cl_dice,0.8224806710467178
SR010-TR1-1183-1247,SR010,4,2D,fas,cl_dice,0.6884688010501314
SR010-TR1-119-183,SR010,4,3D,fas,cl_dice,1
SR010-TR1-119-183,SR010,4,2D,fas,cl_dice,0.9988060631229236
SR010-TR1-1439-1503,SR010,4,3D,fas,cl_dice,0.9613811512463942
SR010-TR1-1439-1503,SR010,4,2D,fas,cl_dice,0.8809248293033767
SR010-TR1-1619-1683,SR010,4,3D,fas,cl_dice,0.8031732040546496
SR010-TR1-1619-1683,SR010,4,2D,fas,cl_dice,0.7817586248922785
SR010-TR1-1747-1811,SR010,4,3D,fas,cl_dice,0.7993579454253612
SR010-TR1-1747-1811,SR010,4,2D,fas,cl_dice,0.7269681742043551
SR010-TR1-183-247,SR010,4,3D,fas,cl_dice,0.9523698525847352
SR010-TR1-183-247,SR010,4,2D,fas,cl_dice,0.8972378421800655
SR010-TR1-1875-1939,SR010,4,3D,fas,cl_dice,0.8558937439114216
SR010-TR1-1875-1939,SR010,4,2D,fas,cl_dice,0.9011191289788804
SR010-TR1-619-683,SR010,4,3D,fas,cl_dice,1
SR010-TR1-619-683,SR010,4,2D,fas,cl_dice,0.97225766364848
SR010-TR1-939-1003,SR010,4,3D,fas,cl_dice,0.958904156552982
SR010-TR1-939-1003,SR010,4,2D,fas,cl_dice,0.9182858119123098
SR011-CL1-2300-2364,SR011,5,3D,fas,cl_dice,0.09341161701185333
SR011-CL1-2300-2364,SR011,5,2D,fas,cl_dice,0.4018537789601767
SR011-CL1-2850-2914,SR011,5,3D,fas,cl_dice,0.7136515041940065
SR011-CL1-2850-2914,SR011,5,2D,fas,cl_dice,0.2105552271725668
SR011-CL1-7000-7064,SR011,5,3D,fas,cl_dice,0.8890094372573139
SR011-CL1-7000-7064,SR011,5,2D,fas,cl_dice,0.9660393454290296
SR011-CL2-4040-4104,SR011,5,3D,fas,cl_dice,0.8861589051718783
SR011-CL2-4040-4104,SR011,5,2D,fas,cl_dice,0.8747608807024552
SR011-CR1-1850-1914,SR011,5,3D,fas,cl_dice,0.3514215194076303
SR011-CR1-1850-1914,SR011,5,2D,fas,cl_dice,0.27814894069958895
SR011-CR1-6100-6164,SR011,5,3D,fas,cl_dice,0.9940858602691858
SR011-CR1-6100-6164,SR011,5,2D,fas,cl_dice,0.9655217565489772
SR011-CR1-6780-6844,SR011,5,3D,fas,cl_dice,0.9369938901830768
SR011-CR1-6780-6844,SR011,5,2D,fas,cl_dice,0.9480815427161188
SR011-TL1-4428-4492,SR011,5,3D,fas,cl_dice,1
SR011-TL1-4428-4492,SR011,5,2D,fas,cl_dice,0.9032258064516128
SR011-TL1-5500-5564,SR011,5,3D,fas,cl_dice,0.9735849056603774
SR011-TL1-5500-5564,SR011,5,2D,fas,cl_dice,0.8709178934674129
SR011-TL1-6164-6228,SR011,5,3D,fas,cl_dice,0.9304174950298212
SR011-TL1-6164-6228,SR011,5,2D,fas,cl_dice,0.9506493506493509
SR011-TL1-6700-6764,SR011,5,3D,fas,cl_dice,0.9773123909249564
SR011-TL1-6700-6764,SR011,5,2D,fas,cl_dice,0.8067058111875707
SR011-TL1-7148-7212,SR011,5,3D,fas,cl_dice,0.8589522342064715
SR011-TL1-7148-7212,SR011,5,2D,fas,cl_dice,0.8958829410160865
SR011-TL1-7268-7332,SR011,5,3D,fas,cl_dice,0.960961546696515
SR011-TL1-7268-7332,SR011,5,2D,fas,cl_dice,0.7149547191384602
SR011-TL1-7428-7492,SR011,5,3D,fas,cl_dice,0.9392027214090066
SR011-TL1-7428-7492,SR011,5,2D,fas,cl_dice,0.8739624537539495
SR011-TL1-7492-7556,SR011,5,3D,fas,cl_dice,0.906709057092651
SR011-TL1-7492-7556,SR011,5,2D,fas,cl_dice,0.8318212574042263
SR011-TL1-7556-7620,SR011,5,3D,fas,cl_dice,0.9085344811623284
SR011-TL1-7556-7620,SR011,5,2D,fas,cl_dice,0.8827449866461157
SR011-TL1-7620-7684,SR011,5,3D,fas,cl_dice,0.9201608002617678
SR011-TL1-7620-7684,SR011,5,2D,fas,cl_dice,0.8716898903327586
SR011-TL1-7684-7748,SR011,5,3D,fas,cl_dice,0.8913007146655446
SR011-TL1-7684-7748,SR011,5,2D,fas,cl_dice,0.8323041199288982
SR011-TL1-7748-7812,SR011,5,3D,fas,cl_dice,0.8294281865025902
SR011-TL1-7748-7812,SR011,5,2D,fas,cl_dice,0.7734845815704423
SR011-TL1-7812-7876,SR011,5,3D,fas,cl_dice,0.891490342419478
SR011-TL1-7812-7876,SR011,5,2D,fas,cl_dice,0.9010155091926813
